lat,lon,name,operator,opening_hours,,prixDiesel,prixDieselExcellium,prixEssence95,prixEssence98,prixLPG,derniereModification,url
50.0145137,14.4252255,OMV,OMV Česká republika,24/7,,,,,,,,https://www.mbenzin.cz/
48.9244463,16.5474017,Chemis,,24/7,,,,,,,,https://www.mbenzin.cz/
50.4419639,14.3503306,EuroOil Hněvice,"Čepro, a.s.",Mo-Su 06:00-20:00,,,,,,,,https://www.mbenzin.cz/
50.0360795,14.3865645,Shell,,,,,,,,,,https://www.mbenzin.cz/
49.1572791,16.5045687,EuroOil,Čepro,Mo-Su 06:00-20:00,,,,,,,,https://www.mbenzin.cz/
49.7530383,15.0222729,Orlen,,"Mo-Su,PH 00:00-23:59",,,,,,,,https://www.mbenzin.cz/
49.4116747,15.7211036,"Unicorn, Kozlov, D1, směr Brno",UNIXAN s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
49.3778283,15.9459266,Shell Měřín,Shell Czech Republic a.s.,24/7,,,,,,,,https://www.mbenzin.cz/
49.3538012,16.0330152,Shell Velké Meziříčí,Shell Czech Republic a.s.,,,,,,,,,https://www.mbenzin.cz/
48.9589317,17.8832026,OMV,OMV,24/7,,,,,,,,https://www.mbenzin.cz/
50.1126037,14.4790616,OMV,OMV,05:30-22:00,,,,,,,,https://www.mbenzin.cz/
50.0611570,14.4277150,OMV,OMV,24/7,,,,,,,,https://www.mbenzin.cz/
50.1116067,14.5761464,Makro,,,,,,,,,,https://www.mbenzin.cz/
50.1497086,14.5874860,Silmet Praha-Vinoř,SILMET Příbram a.s.,"Mo-Fr 06:00-21:00; Sa,Su 07:00-19:00",,,,,,,,https://www.mbenzin.cz/
50.6853088,13.8857797,Pasoil,,,,,,,,,,https://www.mbenzin.cz/
49.5380562,17.7442917,Orlen,,24/7,,,,,,,,https://www.mbenzin.cz/
49.4371025,12.9118089,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-23:00,,,,,,,,https://www.mbenzin.cz/
49.1545954,16.5999086,Tesco Vídeňská,Tesco Stores ČR a.s.,06:00-24:00,,,,,,,,https://www.mbenzin.cz/
49.0851947,16.1941599,,,,,,,,,,,https://www.mbenzin.cz/
49.4358508,12.9440357,ONE 1,,,,,,,,,,https://www.mbenzin.cz/
49.3920865,13.0291492,Orlen Kdyně,,05:00-23:00,,,,,,,,https://www.mbenzin.cz/
49.3926974,13.0245791,Orlen,,24/7,,,,,,,,https://www.mbenzin.cz/
49.5654160,15.9196467,OMV,OMV Česká republika,Mo-Su 05:00-23:00,,,,,,,,https://www.mbenzin.cz/
49.5881866,15.9341376,G.A.S. Petroleum,G.A.S. Petroleum,24/7,,,,,,,,https://www.mbenzin.cz/
49.5487517,15.9561888,,,"Mo-Su,PH 05:00-22:00",,,,,,,,https://www.mbenzin.cz/
49.5538945,15.9465714,"Benzina, Žďár nad Sázavou","Unipetrol RPA, s.r.o. – Benzina",24/7,,,,,,,,https://www.mbenzin.cz/
49.4554735,12.8675781,,,,,,,,,,,https://www.mbenzin.cz/
48.7464584,16.9261374,A+S,Zaris,"Mo-Fr 06:00-20:00; Sa,Su,PH 07:00-19:00",,,,,,,,https://www.mbenzin.cz/
49.1843344,16.7568439,LPG,,,,,,,,,,https://www.mbenzin.cz/
49.6130349,16.0377652,,,,,,,,,,,https://www.mbenzin.cz/
49.5586369,16.0744974,Benzina,,,,,,,,,,https://www.mbenzin.cz/
49.7638532,17.1114023,OMV,OMV Česká republika,Mo-Su 06:00-21:00,,,,,,,,https://www.mbenzin.cz/
49.7779702,16.9075520,"MOL, Mohelnice","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
51.0242725,14.4561897,Velta Free Shop,VELTA Free Shop s.r.o.,08:00-20:00,,,,,,,,https://www.mbenzin.cz/
51.0251639,14.4530559,MOL Rožany,"MOL Česká republika, s.r.o.",07:00-20:00,,,,,,,,https://www.mbenzin.cz/
50.0892736,14.5497278,,,,,,,,,,,https://www.mbenzin.cz/
49.6282016,15.9269488,CS Gorivo,,"Mo-Su,PH 06:00-22:00",,,,,,,,https://www.mbenzin.cz/
49.5531670,17.2292176,OMV,OMV Česká republika,24/7,,,,,,,,https://www.mbenzin.cz/
50.0874738,14.5364245,"MOL, Praha 9 - Průmyslová","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.0772866,14.5387621,OMV,"OMV Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.5844056,17.2691647,Mol,MOL,24/7,,,,,,,,https://www.mbenzin.cz/
50.9825058,14.2977486,Pasoil,,,,,,,,,,https://www.mbenzin.cz/
50.0757336,14.5481499,"MOL, Praha 10 - Štěrboholy (Europark)","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.0587989,14.4833043,Shell,Shell,24/7,,,,,,,,https://www.mbenzin.cz/
48.7498295,16.8933980,BORS,BORS Servis,,,,,,,,,https://www.mbenzin.cz/
48.8444160,14.9319343,Tank&Café,,24/7,,,,,,,,https://www.mbenzin.cz/
49.3447283,12.8509461,Free1 GAS Folmava,TOP TANK s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
49.3451869,12.8519788,"MOL, Folmava II. to CZ","MOL Česká republika, s.r.o.",06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.3412051,12.8511426,RoBiN OIL Folmava,RoBiN OIL s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
49.3494564,12.8528719,"MOL, Folmava I. to GER","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.3493471,12.8546126,Orlen,,05:00-23:00,,,,,,,,https://www.mbenzin.cz/
50.1493268,14.1821472,EuroOil Buštěhrad,"Čepro, a.s.",Mo-Su 05:30-20:00,,,,,,,,https://www.mbenzin.cz/
50.4822986,16.0695375,Čerpací stanice OLVAN,Olvan Náchod,,,,,,,,,https://www.mbenzin.cz/
50.0885564,14.4428141,Florenc,,Mo-Su 00:00-00:00,,,,,,,,https://www.mbenzin.cz/
50.2304151,12.8402682,MOL,,,,,,,,,,https://www.mbenzin.cz/
50.2312600,12.8547900,OMV,OMV,24/7,,,,,,,,https://www.mbenzin.cz/
50.2805379,12.9384882,"MOL, Ostrov n. Ohří - Nejda","MOL Česká republika, s.r.o.",05:00-21:00,,,,,,,,https://www.mbenzin.cz/
50.2442289,12.8990514,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-23:00,,,,,,,,https://www.mbenzin.cz/
50.2446700,12.8332763,Medos Agro,,,,,,,,,,https://www.mbenzin.cz/
